Centro,Region
Parque Arauco (Anteriormente Parkennedy),Metropolitana
Costanera Center,Metropolitana
Alto Las Condes,Metropolitana
Portal Florida Center (Anteriormente Florida Center),Metropolitana
Mallplaza Vespucio (Anteriormente Plaza Vespucio y Mall Plaza Vespucio),Metropolitana
Mallplaza Tobalaba (Anteriormente Plaza Tobalaba y Mall Plaza Tobalaba),Metropolitana
Mallplaza Alameda (Anteriormente Mall Plaza Alameda),Metropolitana
Mallplaza Oeste (Anteriormente Plaza Oeste y Mall Plaza Oeste),Metropolitana
Mallplaza Norte (Anteriormente Mall Plaza Norte),Metropolitana
Mallplaza Sur (Anteriormente Mall Plaza Sur),Metropolitana
Mallplaza Los Dominicos,Metropolitana
Mallplaza Egaña (Anteriormente Mall Plaza Egaña),Metropolitana
Paseo Arauco Estación (Anteriormente Paseo Estación),Metropolitana
Arauco Maipú (Anteriormente Arauco Outlet Mall y Mall Arauco Maipú),Metropolitana
Arauco Quilicura,Metropolitana
Vivo El Centro (Anteriormente Mall del Centro),Metropolitana
Vivo Imperio (Anteriormente Galeria Imperio),Metropolitana
Vivo Melipilla (Anteriormente Mall Leyán),Metropolitana
Espacio Urbano Plaza de Maipu (Anteriormente Las Palmas Shopping de Maipú),Metropolitana
Espacio Urbano Puente Alto (Anteriormente Puente Alto Shopping),Metropolitana
Espacio Urbano Las Rejas (Anteriormente Centro Urbano Las Rejas),Metropolitana
Espacio Urbano La Dehesa (Anteriormente La Dehesa Shopping),Metropolitana
Espacio Urbano Gran Avenida (Anteriormente Gran Avenida Shopping),Metropolitana
Espacio Urbano La Reina,Metropolitana
Portal La Dehesa,Metropolitana
Portal Ñuñoa,Metropolitana
"Vivo Panorámico (Anteriormente Mall Panorámico, Mall del Centro Panorámico y Vivo Providencia).",Metropolitana
Vivo Piedra Roja,Metropolitana
Paseo San Bernardo,Metropolitana
Mall Recoleta Center,Metropolitana
Centro Comercial 14,Metropolitana
Mall Paseo Quilín,Metropolitana
Mall Pumay (Maipú),Metropolitana
Espacio M,Metropolitana
Mall Barrio Independencia,Metropolitana
Mall Patio Talagante,Metropolitana
Mallplaza Arica (Anteriormente Mall Plaza Arica) - Arica,Arica y Parinacota
Mallplaza Iquique - Iquique,Tarapacá
Mall Zofri - Iquique,Tarapacá
Mallplaza Antofagasta (Anteriormente Mall Plaza Antofagasta) - Antofagasta,Antofagasta
Espacio Urbano Antofagasta (Anteriormente Antofagasta Shopping) - Antofagasta,Antofagasta
Mallplaza Calama (Anteriormente Mall Plaza Calama) - Calama,Antofagasta
Mallplaza Copiapó (Anteriormente Mall Plaza Copiapó) - Copiapó,Atacama
Mallplaza La Serena (Anteriormente Plaza La Serena y Mall Plaza La Serena) - La Serena,Coquimbo
Mall Puerta del Mar - La Serena,Coquimbo
Vivo Coquimbo - Coquimbo,Coquimbo
Open Plaza Ovalle - Ovalle,Coquimbo
Mall Marina (Anteriormente Marina Arauco y Mall Marina Arauco) - Viña del Mar,Valparaíso
Open Plaza Santa Julia - Viña del Mar,Valparaíso
Espacio Urbano 15 Norte (Anteriormente Viña Shopping) - Viña del Mar,Valparaíso
Espacio Urbano Viña Centro - Viña del Mar,Valparaíso
Open Plaza San Felipe - San Felipe,Valparaíso
Open Plaza La Calera - La Calera,Valparaíso
Portal El Belloto - Quilpué,Valparaíso
Plaza del Sol - Quilpué,Valparaíso
Arauco San Antonio - San Antonio,Valparaíso
Punta del Sol Shopping Center - Rancagua,O'Higgins
Vivo Rancagua - Rancagua,O'Higgins
Open Plaza Rancagua - Rancagua,O'Higgins
Mall Curicó - Curicó,Maule
Plaza Maule - Talca,Maule
Espacio Urbano Linares - Linares,Maule
Plaza El Roble - Chillán,Bío Bío
Mallplaza Los Ángeles (Anteriormente Mall Plaza Los Ángeles) - Los Ángeles,Bío Bío
"Mallplaza Trébol (Anteriormente Plaza del Trébol, Mall Plaza del Trébol, Mall Plaza Trébol y Mall Plaza Trébol) - Talcahuano",Bío Bío
Mallplaza Mirador Bío Bío (Anteriormente Mall Plaza Mirador Bío Bío) - Concepción,Bío Bío
Mall del Centro Concepción - Concepción,Bío Bío
Portal Temuco - Temuco,Araucanía
Mall Temuco 2000 - Temuco (abandonado),Araucanía
Plaza de los Ríos - Valdivia,Los Ríos
Portal Osorno - Osorno,Los Lagos
Mall Paseo Puerto Varas - Puerto Varas,Los Lagos
Mall Paseo del Mar - Puerto Montt,Los Lagos
Mall Paseo Costanera - Puerto Montt,Los Lagos
Mall Paseo Chiloé - Castro,Los Lagos
Espacio Urbano Pionero - Punta Arenas,Magallanes
