Conara SII,Nombre Comuna ,Código Tesorería
5406,ALGARROBO,44
14605,ALHUE,109
8414,ALTO BIOBIO,349
3304,ALTO DEL CARMEN,302
1211,ALTO HOSPICIO,347
10406,ANCUD,277
4104,ANDACOLLO,22
9101,ANGOL,216
2201,ANTOFAGASTA,7
8413,ANTUCO,303
8301,ARAUCO,198
1101,ARICA,1
11101,AYSEN,285
16403,BUIN,103
8113,BULNES,180
5203,CABILDO,56
12401,CABO DE HORNOS,319
8410,CABRERO,208
2301,CALAMA,10
10309,CALBUCO,265
3202,CALDERA,14
16402,CALERA DE TANGO,99
5702,CALLE LARGA,67
1106,CAMARONES,295
1208,CAMINA,296
4304,CANELA,31
8305,CANETE,201
9209,CARAHUE,235
5403,CARTAGENA,46
5305,CASABLANCA,40
10401,CASTRO,270
5603,CATEMU,63
7401,CAUQUENES,166
14166,CERRILLOS,333
14156,CERRO NAVIA,324
10501,CHAITEN,280
3101,CHANARAL,11
7403,CHANCO,167
6209,CHEPICA,132
8211,CHIGUAYANTE,344
11201,CHILE CHICO,287
8101,CHILLAN,168
8121,CHILLAN VIEJO,342
6202,CHIMBARONGO,125
9221,CHOLCHOL,348
10402,CHONCHI,271
11102,CISNES,286
8107,COBQUECURA,175
10302,COCHAMO,262
11301,COCHRANE,289
6107,CODEGUA,110
8120,COELEMU,186
8103,COIHUECO,170
6116,COINCO,114
7303,COLBUN,161
1210,COLCHANE,297
14201,COLINA,76
9105,COLLIPULLI,220
6106,COLTAUCO,113
4205,COMBARBALA,29
8201,CONCEPCION,188
14127,CONCHALI,75
5309,CONCON,340
7208,CONSTITUCION,157
8306,CONTULMO,202
3201,COPIAPO,13
4103,COQUIMBO,21
8207,CORONEL,194
10106,CORRAL,244
11401,COYHAIQUE,284
9204,CUNCO,230
9110,CURACAUTIN,225
14603,CURACAVI,83
10410,CURACO DE VELEZ,276
8302,CURANILAHUE,197
9218,CURARREHUE,305
7207,CUREPTO,155
7101,CURICO,140
10408,DALCAHUE,279
3102,DIEGO DE ALMAGRO,12
6105,DONIHUE,112
16165,EL BOSQUE,338
8118,EL CARMEN,185
14503,EL MONTE,89
5405,EL QUISCO,45
5404,EL TABO,47
7209,EMPEDRADO,158
9106,ERCILLA,221
14157,ESTACION CENTRAL,328
8204,FLORIDA,193
9203,FREIRE,229
3302,FREIRINA,17
10304,FRESIA,268
10305,FRUTILLAR,269
10503,FUTALEUFU,281
10105,FUTRONO,248
9207,GALVARINO,232
1302,GENERAL LAGOS,293
9212,GORBEA,238
6103,GRANEROS,107
11104,GUAITECAS,309
5503,HIJUELAS,51
10502,HUALAIHUE,308
7107,HUALANE,144
8212,HUALPEN,346
8203,HUALQUI,192
1206,HUARA,3
3303,HUASCO,18
14158,HUECHURABA,334
4301,ILLAPEL,30
13167,INDEPENDENCIA,330
1201,IQUIQUE,2
14502,ISLA DE MAIPO,87
5101,ISLA DE PASCUA,41
5308,JUAN FERNANDEZ,321
5504,LA CALERA,50
16110,LA CISTERNA,96
5505,LA CRUZ,49
6304,LA ESTRELLA,139
15128,LA FLORIDA,93
16131,LA GRANJA,97
4102,LA HIGUERA,20
5201,LA LIGUA,59
16154,LA PINTANA,327
15132,LA REINA,92
4101,LA SERENA,19
10109,LA UNION,251
10112,LAGO RANCO,254
11402,LAGO VERDE,312
12206,LAGUNA BLANCA,316
8403,LAJA,210
14202,LAMPA,78
10103,LANCO,249
6109,LAS CABRAS,116
15108,LAS CONDES,71
9205,LAUTARO,231
8303,LEBU,199
7105,LICANTEN,145
5506,LIMACHE,53
7301,LINARES,159
6303,LITUECHE,136
10306,LLANQUIHUE,267
5606,LLAY-LLAY,65
15161,LO BARNECHEA,332
16164,LO ESPEJO,337
14155,LO PRADO,325
6206,LOLOL,129
9214,LONCOCHE,240
7304,LONGAVI,162
9111,LONQUIMAY,226
8304,LOS ALAMOS,200
5701,LOS ANDES,66
8401,LOS ANGELES,204
10104,LOS LAGOS,247
10308,LOS MUERMOS,264
9103,LOS SAUCES,218
4303,LOS VILOS,33
8208,LOTA,195
9108,LUMACO,223
6102,MACHALI,106
15151,MACUL,323
10107,MAFIL,246
14109,MAIPU,94
6115,MALLOA,122
6305,MARCHIGUE,134
2103,MARIA ELENA,298
14602,MARIA PINTO,90
10102,MARIQUINA,245
7206,MAULE,154
10307,MAULLIN,263
2203,MEJILLONES,8
9217,MELIPEUCO,304
14601,MELIPILLA,88
7108,MOLINA,147
4203,MONTE PATRIA,26
8407,MULCHEN,214
8405,NACIMIENTO,212
6203,NANCAGUA,126
12101,NATALES,291
6302,NAVIDAD,138
8406,NEGRETE,213
8105,NINHUE,174
8110,NIQUEN,177
5502,NOGALES,52
9208,NUEVA IMPERIAL,234
15105,NUNOA,91
11302,OHIGGINS,310
6114,OLIVAR,120
2302,OLLAGUE,300
5507,OLMUE,54
10201,OSORNO,255
4201,OVALLE,25
14505,PADRE HURTADO,339
9220,PADRE LAS CASAS,345
4106,PAIHUANO,24
10110,PAILLACO,252
16404,PAINE,104
10504,PALENA,282
6207,PALMILLA,130
10108,PANGUIPULLI,250
5602,PANQUEHUE,62
5205,PAPUDO,57
6306,PAREDONES,133
7305,PARRAL,164
16162,PEDRO AGUIRRE CERDA,336
7203,PELARCO,152
7402,PELLUHUE,320
8117,PEMUCO,184
14504,PENAFLOR,85
15152,PENALOLEN,322
7205,PENCAHUE,153
8202,PENCO,191
6208,PERALILLO,131
9206,PERQUENCO,233
5202,PETORCA,55
6108,PEUMO,115
1203,PICA,4
6111,PICHIDEGUA,118
6301,PICHILEMU,137
8102,PINTO,169
16302,PIRQUE,101
9211,PITRUFQUEN,237
6204,PLACILLA,127
8106,PORTEZUELO,171
12301,PORVENIR,292
1204,POZO ALMONTE,5
12302,PRIMAVERA,317
15103,PROVIDENCIA,72
5307,PUCHUNCAVI,36
9216,PUCON,242
14111,PUDAHUEL,82
16301,PUENTE ALTO,100
10301,PUERTO MONTT,261
10203,PUERTO OCTAY,258
10303,PUERTO VARAS,266
6214,PUMANQUE,135
4204,PUNITAQUI,27
12205,PUNTA ARENAS,290
10405,PUQUELDON,274
9102,PUREN,217
10206,PURRANQUE,260
5604,PUTAENDO,61
1301,PUTRE,294
10204,PUYEHUE,256
10403,QUEILEN,272
10404,QUELLON,273
10407,QUEMCHI,278
8408,QUILACO,215
14114,QUILICURA,79
8404,QUILLECO,206
8115,QUILLON,182
5501,QUILLOTA,48
5304,QUILPUE,38
10415,QUINCHAO,275
